question,answer,explanation,category
コンピュータが単体で他のコンピュータと接続しない形態で利用することを何と言いますか？,スタンドアロン,コンピュータが誕生した頃は、スタンドアロンという形態で利用されていました。,ネットワーク基礎とOSI参照モデル
複数台のコンピュータをケーブルや電波などで相互に接続して、相互に情報をやり取りする仕組みを何と言いますか？,コンピュータネットワーク（またはネットワーク）,コンピュータネットワークは、複数のコンピュータを接続して情報を共有する仕組みです。,ネットワーク基礎とOSI参照モデル
パソコンをネットワークに接続することにより、共有できるリソースにはどのようなものがありますか？,ハードウェアリソースとソフトウェアリソース,ネットワークに接続することで、プリンターなどのハードウェアや、ファイルデータなどのソフトウェアを共有できます。,ネットワーク基礎とOSI参照モデル
コンピュータネットワークは規模に応じて大きく3つに分類できます。それは何ですか？,LAN、WAN、インターネット,コンピュータネットワークは、規模や接続範囲によってLAN、WAN、インターネットに分類されます。,ネットワーク基礎とOSI参照モデル
LANとはどのようなネットワークですか？,同じ建物の中にあるコンピュータなどを接続したネットワーク,LAN (Local Area Network) は、比較的小さな範囲、例えば建物内でコンピュータやプリンタを接続するネットワークです。,ネットワーク基礎とOSI参照モデル
WANとはどのようなネットワークですか？,地理的に離れた場所にあるコンピュータなどを接続したネットワーク,WAN (Wide Area Network) は、地理的に離れた場所にあるコンピュータなどを接続し、広範囲なネットワークを構築します。,ネットワーク基礎とOSI参照モデル
インターネットとはどのようなネットワークですか？,世界の全てのネットワークを相互接続した巨大なコンピュータネットワーク,インターネットは、世界中の様々なネットワークを相互に接続した、巨大なネットワークです。,ネットワーク基礎とOSI参照モデル
イントラネットとはどのようなネットワークですか？,インターネット標準技術を用いて構築された企業内ネットワーク,イントラネットは、インターネットの技術を利用して構築された、企業内などの組織内ネットワークです。,ネットワーク基礎とOSI参照モデル
イントラネットが外部接続（インターネット接続）する場合、通常、どのようなものが設置されますか？,ファイアウォール,イントラネットをインターネットに接続する際には、セキュリティのためにファイアウォールが設置されることが一般的です。,ネットワーク基礎とOSI参照モデル
ハードウェアリソースの共有とは具体的にどのようなことですか？,複数のPCがプリンターの利用を共有すること,ネットワークに接続された複数のPCで一つのプリンターを共有して利用することが、ハードウェアリソースの共有にあたります。,ネットワーク基礎とOSI参照モデル
ストレージをサーバに直接接続する形態は何と呼ばれるか？,DAS (Direct Attached Storage),DASは、ストレージをサーバなどに直接接続する形態のことです。,ネットワーク基礎とOSI参照モデル
ストレージをネットワーク上に接続する形態は、NASと何があるか？,SAN (Storage Area Network),ストレージをネットワーク上に接続する形態には、NAS（Network Attached Storage）とSAN（Storage Area Network）の2種類があります。,ネットワーク基礎とOSI参照モデル
NASやSANの接続形態によって利用するストレージは何と呼ばれるか？,ネットワークストレージ,NASやSANの接続形態によって利用するストレージのことを、ネットワークストレージといいます。,ネットワーク基礎とOSI参照モデル
