category,question,answer
LANとIPアドレス,LANには複数の規格があるが、我々が日頃使っている有線LANの規格は総称して何と言うか。,イーサネット
LANとIPアドレス,イーサネットフレームの構造は？,宛先MACアドレス、送信元MACアドレス、タイプ、データ、FCS
LANとIPアドレス,イーサネットフレームのフレーム構造にて、IPアドレスはどこに入っているか。,IPアドレスを使った通信であれば、「データ」の中
LANとIPアドレス,イーサネットフレームのフレーム構造にて、タイプフィールドは何が入るか。,たとえば、IPv4のでーたなのか、IPv6なのかを示す値。
LANとIPアドレス,同一セグメント内のすべての端末にデータを一斉に送信することを何と言うか。,ブロードキャスト
LANとIPアドレス,1つの端末だけにデータを送信することを何と言うか。,ユニキャスト
LANとIPアドレス,同一セグメント内の特定のグループの端末にデータを一斉に送信することを何と言うか。,マルチキャスト
LANとIPアドレス,ブロードキャストの宛先MACアドレスの具体的な値な何か。,FF:FF:FF:FF:FF:FF
LANとIPアドレス,有線LANにおいて、衝突の検知や衝突の回避の仕組みを何と言うか。,CSMA/CD
LANとIPアドレス,無線LANにおいて、衝突の検知や衝突の回避の仕組みを何と言うか。,CSMA/CA
LANとIPアドレス,有線LANの仕組みの場合、衝突を検知したらどのような行動をとるか。,一定時間が経過した後に再送信を行う。
LANとIPアドレス,シェアードハブとスイッチングハブの違いは何か。,シェアードハブは受信したフレームをハブに接続されている全てのポートに転送する。スイッチングハブはフレームの宛先MACアドレスを見て該当するホストが接続されているポートにのみフレームを転送する。
LANとIPアドレス,スイッチではMACアドレスを学習する機能があるが、なぜ学習するのか。,該当ポートにのみフレームを転送するため。
LANとIPアドレス,スイッチでMACアドレスを学習した情報はどこに保存されるか。,MACアドレステーブル
LANとIPアドレス,MACアドレステーブルは何と何の情報が記憶されるか。,MACアドレスとポートの対応
LANとIPアドレス,MACアドレステーブルはどうやって学習するのか。フレームの送受信どちらの時か。,スイッチのポートにフレームが入ってきたとき、そのフレームの送信元のMACアドレスを見て学習する。
LANとIPアドレス,今ではPCとPCはストレートケーブルでも通信ができるが、なぜか。,Auto MDI/MDI-X機能を実装するように通信規格で定められているから。
LANとIPアドレス,ポートベースVLANの場合、スイッチの物理的な1つのポートに所属するVLANの数はいくつか。,1つ
LANとIPアドレス,スイッチにポートVLANを設定した場合と設定していない場合で、スイッチを流れるフレームの構造は変化するか。,変化しない
LANとIPアドレス,ポートVLANが設定されたポートを「アクセスポート」と言うが、タグVLANが設定されたポートを何と言うか。,トランク
LANとIPアドレス,VLANタグは何バイトか。,32ビット
LANとIPアドレス,VLAN IDは何バイトか。,12ビット
LANとIPアドレス,VLANの最大数はいくつか。,4094個
LANとIPアドレス,PC1からサーバへのパケットをキャプチャしようとして、両方が接続されたスイッチにパケットキャプチャ用のPC-Xを接続したが、PC-Xにパケットが届かないのはなぜか。どのような設定をいれるべきか。,スイッチは宛先の端末が繋がっているポートにのみフレームを転送するから。ミラーリングの設定をする。
LANとIPアドレス,PC-XにWiresharkなどのパケットキャプチャソフトをインストールしたが、パケットキャプチャが一切できなかったのはなぜか。その場合にPC-Xにどういう設定をすればよいか。,PC-XのNICは宛先MACアドレスが自分宛ではないフレームは受け取らないから。プロミスキャスモードに設定する。
LANとIPアドレス,IPアドレス（IPv4）は何ビットか。,32ビット
LANとIPアドレス,iPv6のアドレスの長さは何ビットか。,128
LANとIPアドレス,IPv6において、fe80から始まるアドレスは何と言うか。,リンクローカルユニキャストアドレス
LANとIPアドレス,IPv4とIPv6とは互換性があるか。,ない
